"","State","education_score","Report_year","Population","total_crime_rate","assault_rate","rape_rate","robbery_rate","homicide_rate"
"1","Arizona",42.61,2015,2560453,0.00574312436119702,0.00327285835748596,0.000655743339166936,0.00175242427804767,6.2098386496452e-05
"2","California",50.03,2015,10276725,0.00596688147245353,0.00323673154628542,0.000440996523697968,0.00222074639537401,6.84070070961323e-05
"3","Colorado",67.97,2015,1042655,0.00600294440634726,0.00345751950549319,0.000863181013854055,0.00160839395581472,7.38499311852914e-05
"4","Florida",48.86,2015,3133280,0.00673319971403769,0.0043567762855538,0.000379474544247562,0.00189354286881479,0.000103406015421539
"5","Georgia",44.96,2015,464710,0.0111962299068236,0.0063351337393213,0.000365819543371135,0.00429299993544361,0.000202276688687569
"6","Hawaii",55.65,2015,999307,0.00243869001217844,0.00120883772454311,0.00031822052682509,0.000896621358601511,1.50104022087306e-05
"7","Illinois",55.62,2015,2728695,0.00903838648144992,0.00480229560284312,0.000524792987123882,0.00353612257874185,0.000175175312741072
"8","Indiana",41.82,2015,863675,0.0128798448490462,0.00752250557211914,0.000783859669435841,0.00440211885257765,0.000171360754913596
"9","Kansas",53.31,2015,389824,0.00984803398456739,0.00700316040059104,0.000895275816778854,0.00188033574125759,6.92620259399113e-05
"10","Kentucky",32.15,2015,680550,0.00631841892586878,0.00362794798324884,0.000301226948791419,0.00227022261406216,0.000119021379766365
"11","Louisiana",22.57,2015,393447,0.00949556102855022,0.00423436955930532,0.00103953010189428,0.00380483267123653,0.000416828696114089
"12","Maryland",73.21,2015,2315619,0.00637496928467075,0.00312702564627428,0.000347207377379439,0.00271115412336831,0.000189582137648724
"13","Massachusetts",80.06,2015,665258,0.00706793454569505,0.00431862525516416,0.000360762290720292,0.00233142630377989,5.71206960307129e-05
"14","Michigan",48.66,2015,673225,0.0175959003304987,0.0112354710535111,0.000787255375246017,0.00513498458910468,0.000438189312636934
"15","Minnesota",65.57,2015,413479,0.0106293185385473,0.00494583763625239,0.000984330522227247,0.00458548076202177,0.000113669618045898
"16","Missouri",44.5,2015,790468,0.01577672973479,0.0101863706057677,0.000795731136491294,0.00441890120789203,0.000375726784638973
"17","Nebraska",52.08,2015,452252,0.00514978374888337,0.00321059940033433,0.000384741250453287,0.00144830758072933,0.000106135517366424
"18","Nevada",33.31,2015,1562134,0.00920727671249713,0.00521018043266455,0.000708645993237456,0.00320715124310719,8.12990434879466e-05
"19","New Jersey",62.93,2015,279110,0.0110064132420909,0.00382644835369568,0.000372612948299953,0.00642399054136362,0.000383361398731683
"20","New Mexico",36.32,2015,559721,0.00965838337314483,0.00584755619317481,0.000721788176609418,0.00301221501426604,7.68239890945668e-05
"21","New York",56.73,2015,11211585,0.00499197927857658,0.00301143861461158,0.000228692018122326,0.00171349546027613,3.83531855665368e-05
"22","North Carolina",46.03,2015,1316180,0.00579252077983255,0.00349268337157532,0.000246166937652905,0.00199440805968788,5.926241091644e-05
"23","Ohio",45.08,2015,1146223,0.00644900686864598,0.00235905229610643,0.00090907266736054,0.00305612433182723,0.000124757573351782
"24","Oklahoma",34.43,2015,1032141,0.0081926791010143,0.00526769113909824,0.000818686594176571,0.00198228730376954,0.000124014063969942
"25","Pennsylvania",48.74,2015,1874680,0.0097611325666247,0.00476614675571297,0.000748927817014104,0.0040662939808394,0.000179764013058229
"26","Tennessee",35.85,2015,1315965,0.0142055449802996,0.00947745570740863,0.000788014878815166,0.00378277537776461,0.000157299016311224
"27","Texas",37.12,2015,7882885,0.00658933880172044,0.0035096287716997,0.000551828423223223,0.00244707362850023,8.08079782972858e-05
"28","Utah",64.53,2015,191992,0.00855243968498687,0.00455227301137547,0.00151568815367307,0.00244281011708821,4.16684028501188e-05
"29","Virginia",66.98,2015,1554497,0.00102927184806404,0.000399486136029854,0.000149887712874325,0.000458669267293536,2.12287318663207e-05
"30","Washington",63.77,2015,683700,0.00598654380576276,0.00350153576129882,0.000210618692408951,0.0022407488664619,3.36404855930964e-05
"31","Wisconsin",53.23,2015,600400,0.0159610259826782,0.0087491672218521,0.00072618254497002,0.00624417055296469,0.000241505662891406
